Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Source_Location_X,Source_Location_Y,Log
0.0025616,-5.182977371,0.0008014,-6.192301324,0.0054555,0.00042923,1.49E-06,20,0.05,70,70,-1.850442208
2.63E-05,-9.160088503,0.0006451,-6.380745916,5.18E-12,0.00082992,8.30E-05,12,0.083333333,180,180,-2.170426084
0.0052575,-4.558441437,0.0024539,-5.220286279,0.045421,0.0015408,1.25E-05,10,0.1,100,100,-1.981590793
9.85E-21,-40.01312754,2.76E-05,-9.118181836,0,0.00041079,0.0027549,13,0.076923077,300,300,-1.952257982
4.88E-31,-60.62316036,2.36E-07,-13.25417599,0,2.15E-05,0.0008983,9,0.111111111,286,376,-2.865344858
0.021428,-3.338036725,0.0067038,-4.347357902,0.045636,0.0035906,1.24E-05,7,0.142857143,70,70,-1.839831707
7.15E-06,-10.29138792,0.00017505,-7.51367577,1.41E-12,0.0002252,2.25E-05,17,0.058823529,180,180,-2.434352853
1.60E-05,-9.591760035,7.46E-06,-10.25452235,0.00013806,4.68E-06,3.81E-08,10,0.1,100,100,-4.498940738
1.73E-20,-39.52390779,4.83E-05,-8.632105738,0,0.00071987,0.0048277,10,0.1,300,300,-1.936516522
4.41E-17,-32.71112282,3.67E-06,-10.87066787,1.93E-167,7.89E-05,0.0013463,19,0.052631579,200,351,-1.97637721
0.0027522,-5.120640019,0.00086102,-6.129973521,0.0058614,0.00046117,1.60E-06,13,0.076923077,70,70,-2.193453745
3.08E-07,-13.02289857,7.55E-06,-10.2441061,6.06E-14,9.71E-06,9.70E-07,17,0.058823529,180,180,-3.799833754
0.0020715,-5.367430125,0.00096686,-6.029272813,0.017896,0.00060708,4.94E-06,18,0.055555556,100,100,-1.875560989
1.55E-19,-37.6193366,0.00043264,-6.72774666,0,0.0064427,0.043207,3,0.333333333,300,300,-2.030458291
1.78E-19,-37.49916,2.12E-06,-11.34732828,0,5.47E-05,0.0010054,7,0.142857143,231,348,-3.007446482
0.016886,-3.54494643,0.0052826,-4.554304546,0.035962,0.0028294,9.79E-06,3,0.333333333,70,70,-2.679272273
0.00030691,-7.025977922,0.0075188,-4.247702934,6.04E-11,0.0096729,0.0009669,5,0.2,180,180,-1.864326806
0.00053083,-6.550089082,0.00024776,-7.211937615,0.004586,0.00015557,1.27E-06,17,0.058823529,100,100,-2.516541085
9.10E-20,-38.08191722,0.00025482,-7.187532977,0,0.0037946,0.025448,5,0.2,300,300,-1.816673203
0.0051542,-4.575677467,0.0043256,-4.727907287,0.07082,0.0030525,2.77E-05,9,0.111111111,157,119,-1.838901644
0.010074,-3.993596107,0.0031516,-5.002937816,0.021454,0.001688,5.84E-06,8,0.125,70,70,-2.051650618
6.03E-05,-8.439365376,0.001478,-5.660651132,1.19E-11,0.0019014,0.00019007,12,0.083333333,180,180,-1.810397407
0.0019975,-5.399026424,0.00093233,-6.060860682,0.017257,0.0005854,4.76E-06,14,0.071428571,100,100,-2.109640469
5.23E-21,-40.56299662,1.46E-05,-9.671294288,0,0.00021793,0.0014615,20,0.05,300,300,-1.853375911
1.17E-25,-49.86362828,7.03E-05,-8.30608935,0,0.00047344,0.00028027,18,0.055555556,376,245,-1.968591536
0.031277,-3.00954982,0.0097849,-4.018887217,0.066611,0.0052408,1.81E-05,6,0.166666667,70,70,-1.80950022
7.60E-05,-8.238372815,0.0018629,-5.459620915,1.50E-11,0.0023967,0.00023957,9,0.111111111,180,180,-1.959714201
0.0020761,-5.365503463,0.000969,-6.027352446,0.017936,0.00060843,4.95E-06,19,0.052631579,100,100,-1.827630623
6.47E-21,-40.37819144,1.81E-05,-9.48464285,0,0.00026998,0.0018106,15,0.066666667,300,300,-2.010256599
0.00020831,-7.362579762,0.00042561,-6.741976353,0,0.00023716,1.01E-08,11,0.090909091,351,104,-2.875560989
0.0077713,-4.219012651,0.0024312,-5.228358626,0.016551,0.0013022,4.51E-06,12,0.083333333,70,70,-1.81216918
1.53E-05,-9.630617138,0.00037555,-6.850664467,3.01E-12,0.00048314,4.83E-05,12,0.083333333,180,180,-2.405386491
0.0054932,-4.520349177,0.0025639,-5.182197835,0.047457,0.0016099,1.31E-05,4,0.25,100,100,-2.758453519
1.43E-21,-41.68932793,4.01E-06,-10.79371125,0,5.97E-05,0.0004001,20,0.05,300,300,-2.41601952
2.89E-41,-81.07820431,3.01E-07,-13.04286701,0,2.24E-05,0.00064885,16,0.0625,348,342,-2.635486526
0.0025257,-5.195236472,0.00079015,-6.204580911,0.005379,0.00042321,1.46E-06,17,0.058823529,70,70,-1.99774752
3.96E-07,-12.80460963,9.69E-06,-10.02735245,7.78E-14,1.25E-05,1.25E-06,15,0.066666667,180,180,-3.799833754
0.00074969,-6.250236564,0.00034991,-6.912087291,0.0064767,0.00021971,1.79E-06,9,0.111111111,100,100,-2.919012953
2.82E-21,-41.09950178,7.88E-06,-10.20694757,0,0.00011738,0.00078718,17,0.058823529,300,300,-2.263276904
0.0065725,-4.36453881,0.0015906,-5.596878044,0.00027357,0.0007079,2.78E-07,7,0.142857143,119,40,-2.461376004
0.051808,-2.571206346,0.016208,-3.580541144,0.11034,0.0086811,3.00E-05,4,0.25,70,70,-1.94248604
0.00058747,-6.462028613,0.014392,-3.683757699,1.16E-10,0.018515,0.0018508,3,0.333333333,180,180,-2.026050537
