Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.005793,0.00025584,0.0031238,5.78E-06,0.005793,100,50,0.0094495,5,0
0.000972,0.018955,0.23144,0.00042831,0.000972,100,50,0.0003171,1,0
0.0014163,0.0062132,0.075863,0.00014039,0.0014163,100,50,0.0032344,7,0
0.001944,0.0012792,0.015619,2.89E-05,0.001944,100,50,0.0019026,3,0
0.0038015,0.0037083,0.045279,8.38E-05,0.0038015,100,50,0.011162,9,0
0.0002673,0.0069192,0.084484,0.00015635,0.0002673,100,50,0.00034881,4,0
0.0080999,0.0089543,0.10933,0.00020233,0.0080999,100,50,0.015855,6,0
0.0065123,0.0015408,0.018814,3.48E-05,0.0065123,100,50,0.0084982,4,0
0.01134,0.0054656,0.066735,0.0001235,0.01134,100,50,0.011098,3,0
0.016329,0.053609,0.65457,0.0012114,0.016329,100,50,0.0053272,1,0
0.0019926,0.0032561,0.039757,7.36E-05,0.0019926,100,50,0.0013001,2,0
0.0029807,0.0023775,0.029029,5.37E-05,0.0029807,100,50,0.0087519,9,0
0.0027493,0.0057812,0.070589,0.00013063,0.0027493,100,50,0.0062785,7,0
0.0031103,0.0074425,0.090873,0.00016817,0.0031103,100,50,0.0020294,2,0
0.030812,0.030351,0.37059,0.00068582,0.030812,100,50,0.010052,1,0
0.0068428,0.0010233,0.012495,2.31E-05,0.0068428,100,50,0.011162,5,0
0.02498,0.027793,0.33935,0.00062801,0.02498,100,50,0.0081494,1,0
0.015779,0.011358,0.13868,0.00025664,0.015779,100,50,0.015443,3,0
0.0096712,0.018083,0.22079,0.0004086,0.0096712,100,50,0.0063102,2,0
0.001782,0.0058145,0.070995,0.00013138,0.001782,100,50,0.0052321,9,0
0.00050543,0.0023956,0.02925,5.41E-05,0.00050543,100,50,0.0016489,10,0
0.0347,0.053028,0.64747,0.0011982,0.0347,100,50,0.01132,1,0
0.005759,0.012763,0.15583,0.00028839,0.005759,100,50,0.0075152,4,0
0.010668,0.0081984,0.1001,0.00018525,0.010668,100,50,0.013921,4,0
0.0049247,0.0063442,0.077463,0.00014335,0.0049247,100,50,0.01446,9,0
0.017593,0.0006396,0.0078094,1.45E-05,0.017593,100,50,0.011479,2,0
0.00080536,0.0070106,0.085599,0.00015841,0.00080536,100,50,0.0018392,7,0
