Receptor_measurement1,log Receptor_measurement1,Receptor_measurement1_log,log Receptor_measurement2,Receptor_measurement2,log_log Receptor_measurement3,Receptor_measurement3,Log_receptor4,Receptor_measurement4,Source_Location_X,Log_X,Source location X log,Log y,Source emission rate,Log,Wind speed,Wind spped log,Wind angle,Wind angle log
8.70E-10,-9.06E+00,0.0011978,-2.921615691,0.014625,-1.834904125,2.71E-05,-9.060680469,8.70E-10,15,1.176091259,250,2.397940009,0.0032661,-2.485970522,10,1,0,
2.99E-09,-8.52E+00,0.0041218,-2.384913085,0.050327,-1.298198957,9.31E-05,-8.523965841,2.99E-09,15,1.176091259,250,2.397940009,0.010115,-1.995034113,9,0.954242509,0,
5.48E-09,-8.26E+00,0.0075422,-2.122501955,0.09209,-1.035787527,0.00017042,-8.261560354,5.48E-09,15,1.176091259,250,2.397940009,0.014396,-1.841758162,7,0.84509804,0,
6.91E-09,-8.16E+00,0.0095124,-2.021709896,0.11615,-0.934980786,0.00021494,-8.160760849,6.91E-09,15,1.176091259,250,2.397940009,0.012969,-1.88709351,5,0.698970004,0,
3.38E-10,-9.47E+00,0.00046516,-3.332397638,0.0056796,-2.245682249,1.05E-05,-9.471456079,3.38E-10,15,1.176091259,250,2.397940009,0.0011416,-2.94248604,9,0.954242509,0,
1.78E-09,-8.75E+00,0.002455,-2.609948504,0.029976,-1.52322632,5.55E-05,-8.748994827,1.78E-09,15,1.176091259,250,2.397940009,0.0060249,-2.220050157,9,0.954242509,0,
9.03E-10,-9.04E+00,0.0012443,-2.905074899,0.015193,-1.818356462,2.81E-05,-9.044134336,9.03E-10,15,1.176091259,250,2.397940009,0.0033929,-2.46942894,10,1,0,
2.31E-09,-8.64E+00,0.0031786,-2.497764121,0.03881,-1.411056357,7.18E-05,-8.63682065,2.31E-09,15,1.176091259,250,2.397940009,0.0052004,-2.28396325,6,0.77815125,0,
8.57E-09,-8.07E+00,0.011803,-1.928007593,0.14412,-0.841275747,0.00026671,-8.067049585,8.57E-09,15,1.176091259,250,2.397940009,0.012874,-1.890286495,4,0.602059991,0,
2.09E-09,-8.68E+00,0.0028814,-2.540396448,0.035182,-1.453679476,6.51E-05,-8.67945908,2.09E-09,15,1.176091259,250,2.397940009,0.0070713,-2.150500737,9,0.954242509,0,
6.89E-10,-9.16E+00,0.00094969,-3.022418135,0.011596,-1.935691793,2.15E-05,-9.161472028,6.89E-10,15,1.176091259,250,2.397940009,0.0015538,-2.808604883,6,0.77815125,0,
3.00E-09,-8.52E+00,0.0041366,-2.383356472,0.050508,-1.296639828,9.35E-05,-8.522415745,3.00E-09,15,1.176091259,250,2.397940009,0.0078957,-2.102609361,7,0.84509804,0,
2.89E-10,-9.54E+00,0.00039871,-3.399342872,0.0048682,-2.312631588,9.01E-06,-9.538396439,2.89E-10,15,1.176091259,250,2.397940009,0.00076104,-3.118592516,7,0.84509804,0,
4.22E-09,-8.37E+00,0.0058145,-2.235487625,0.070995,-1.148772236,0.00013138,-8.374543494,4.22E-09,15,1.176091259,250,2.397940009,0.0015855,-2.799833754,1,0,0,
3.18E-09,-8.50E+00,0.0043858,-2.357951177,0.05355,-1.271240525,9.91E-05,-8.497013301,3.18E-09,15,1.176091259,250,2.397940009,0.0083714,-2.077201906,7,0.84509804,0,
4.04E-09,-8.39E+00,0.0055586,-2.255034577,0.067871,-1.168315752,0.0001256,-8.394091887,4.04E-09,15,1.176091259,250,2.397940009,0.0075786,-2.120411014,5,0.698970004,0,
9.29E-09,-8.03E+00,0.012792,-1.893061549,0.15619,-0.806346775,0.00028904,-8.032124554,9.29E-09,15,1.176091259,250,2.397940009,0.0034881,-2.457411073,1,0,0,
2.71E-08,-7.57E+00,0.037329,-1.427953644,0.45579,-0.341235207,0.00084348,-7.567014684,2.71E-08,15,1.176091259,250,2.397940009,0.010179,-1.992294886,1,0,0,
1.55E-08,-7.81E+00,0.021339,-1.670825937,0.26055,-0.584108922,0.00048218,-7.809892512,1.55E-08,15,1.176091259,250,2.397940009,0.011637,-1.934158966,2,0.301029996,0,
2.46E-09,-8.61E+00,0.003389,-2.469928431,0.04138,-1.383209514,7.66E-05,-8.608976631,2.46E-09,15,1.176091259,250,2.397940009,0.0064688,-2.189176276,7,0.84509804,0,
5.54E-09,-8.26E+00,0.0076363,-2.117117018,0.09324,-1.030397735,0.00017255,-8.256168945,5.54E-09,15,1.176091259,250,2.397940009,0.012494,-1.903298498,6,0.77815125,0,
2.96E-10,-9.53E+00,0.00040701,-3.39039492,0.0049696,-2.303678566,9.20E-06,-9.529442515,2.96E-10,15,1.176091259,250,2.397940009,0.0011098,-2.95475528,10,1,0,
3.46E-09,-8.46E+00,0.0047679,-2.321672862,0.058216,-1.234957638,0.00010773,-8.460735664,3.46E-09,15,1.176091259,250,2.397940009,0.010401,-1.982924904,8,0.903089987,0,
1.01E-09,-8.99E+00,0.0013955,-2.855270159,0.017039,-1.768555897,3.15E-05,-8.994347685,1.01E-09,15,1.176091259,250,2.397940009,0.0034247,-2.465377466,9,0.954242509,0,
