Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Emission_rate
3.38E-21,0.00051555,0,0.0031803,0.0020357,6,0.166666667,1.556302501,0.0081177
0.01378,0.0043109,0.029347,0.0023089,7.99E-06,8,0.125,1.806179974,0.012145
0.00035604,0.0087225,7.00E-11,0.011221,0.0011217,2,0.5,0.602059991,0.0025368
0.00044745,0.00020884,0.0038656,0.00013113,1.07E-06,5,0.2,1.397940009,0.00022197
7.02E-21,1.97E-05,0,0.00029277,0.0019634,15,0.066666667,2.352182518,0.010591
0.0063558,0.0013086,4.08E-08,0.00053966,4.42E-08,17,0.058823529,2.460897843,0.015379
0.024369,0.0076238,0.051899,0.0040833,1.41E-05,6,0.166666667,1.556302501,0.012081
1.67E-05,0.00040955,3.29E-12,0.00052688,5.27E-05,19,0.052631579,2.557507202,0.01075
0.0053694,0.0025061,0.046387,0.0015736,1.28E-05,10,0.1,2,0.010654
3.22E-20,9.02E-05,0,0.0013436,0.0090106,4,0.25,1.204119983,0.0034564
7.06E-05,0.00044696,1.65E-05,0.00054277,9.47E-05,20,0.05,2.602059991,0.013921
0.0013528,0.00042321,0.002881,0.00022667,7.84E-07,20,0.05,2.602059991,0.0074518
0.0069784,0.17096,1.37E-09,0.21994,0.021985,1,1,0,0.01243
0.0023651,0.0011039,0.020432,0.00069312,5.64E-06,5,0.2,1.397940009,0.0011733
2.72E-22,7.62E-07,0,1.13E-05,7.61E-05,20,0.05,2.602059991,0.00072933
