Receptor_measurement1,Receptor_measurement2,Receptor_measurement4,Receptor_measurement5,Wind_speed,Source_Location_X,Source_Location_Y
3.12E-05,0.00076322,0.00098187,9.81E-05,2,180,180
0.002927,0.0013661,0.00085779,6.98E-06,14,100,100
2.06E-21,5.76E-06,8.58E-05,0.0005756,18,300,300
0.029822,0.0087082,0.0045464,7.62E-06,4,127,73
0.0022003,0.00068834,0.00036868,1.28E-06,15,70,70
7.65E-05,0.001874,0.0024109,0.00024099,8,180,180
0.0014377,0.00067102,0.00042133,3.43E-06,17,100,100
8.87E-21,2.48E-05,0.0003698,0.00248,8,300,300
6.20E-07,0.01554,0.086585,0.43532,1,97,306
0.005827,0.001823,0.00097638,3.38E-06,14,70,70
0.00032489,0.0079593,0.01024,0.0010235,4,180,180
0.0065697,0.0030663,0.0019253,1.57E-05,3,100,100
6.00E-20,0.00016813,0.0025037,0.01679,6,300,300
1.15E-14,1.24E-05,0.0001334,0.00098982,10,217,311
0.0021512,0.000673,0.00036046,1.25E-06,17,70,70
4.67E-05,0.0011448,0.0014728,0.00014722,8,180,180
0.0025406,0.0011858,0.00074456,6.06E-06,16,100,100
5.04E-21,1.41E-05,0.00021001,0.0014084,18,300,300
0.010681,0.0045898,0.0026903,6.19E-06,6,175,96
0.0082663,0.0025861,0.0013851,4.79E-06,10,70,70
1.11E-05,0.00027258,0.00035067,3.51E-05,8,180,180
0.048041,0.022422,0.014079,0.00011454,4,100,100
8.99E-21,2.52E-05,0.00037497,0.0025147,9,300,300
2.78E-12,1.25E-05,0.0001909,0.0030686,11,73,378
0.0039656,0.0012406,0.00066448,2.30E-06,6,70,70
0.00010681,0.0026167,0.0033664,0.00033651,7,180,180
0.00055531,0.00025919,0.00016274,1.32E-06,20,100,100
6.91E-21,1.93E-05,0.00028799,0.0019313,17,300,300
8.01E-33,5.86E-08,4.00E-06,0.00013022,17,306,357
0.0010338,0.00032343,0.00017323,5.99E-07,7,70,70
3.73E-05,0.00091452,0.0011765,0.00011761,14,180,180
0.0018249,0.00085175,0.00053481,4.35E-06,18,100,100
6.07E-21,1.70E-05,0.00025323,0.0016982,9,300,300
6.66E-09,0.013543,0.031711,0.0038522,3,311,207
0.008187,0.0025613,0.0013718,4.75E-06,9,70,70
2.82E-05,0.00069203,0.00089029,8.90E-05,11,180,180
0.0034375,0.0016044,0.0010074,8.20E-06,15,100,100
1.07E-19,0.0003002,0.0044704,0.02998,3,300,300
