Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Source_Emission_rate,Log
0.00013296,-7.752557987,0.0032573,-4.974284481,2.61E-11,0.0041905,0.00041888,8,0.125,1.806179974,180,180,0.015157,-1.819386749
0.0039951,-4.796944691,0.0018647,-5.458782058,0.034514,0.0011708,9.53E-06,8,0.125,1.806179974,100,100,0.0050736,-2.294683775
1.25E-20,-39.80617997,3.50E-05,-8.911863911,0,0.00052158,0.0034979,11,0.090909091,2.08278537,300,300,0.010147,-1.99366234
4.60E-19,-36.67448434,7.59E-06,-10.23951645,0,0.00014528,0.0017842,20,0.05,2.602059991,255,326,0.014365,-1.84269437
0.034447,-2.92569719,0.010777,-3.935004234,0.073362,0.005772,2.00E-05,5,0.2,1.397940009,70,70,0.011859,-1.925951931
9.67E-05,-8.029147052,0.0023691,-5.250833215,1.90E-11,0.0030478,0.00030466,9,0.111111111,1.908485019,180,180,0.013952,-1.855363532
0.0015668,-5.609972874,0.00073129,-6.271820731,0.013536,0.00045918,3.74E-06,16,0.0625,2.408239965,100,100,0.0079592,-2.099130582
2.91E-21,-41.07221402,8.16E-06,-10.17661968,0,0.00012147,0.00081464,17,0.058823529,2.460897843,300,300,0.0056443,-2.248389911
0.0001531,-7.630049619,0.00066068,-6.36001768,0.00012737,0.00078314,0.00016276,15,0.066666667,2.352182518,55,181,0.011891,-1.924781621
0.0095231,-4.04244331,0.0029793,-5.051771527,0.020281,0.0015957,5.52E-06,9,0.111111111,1.908485019,70,70,0.010623,-1.973752819
2.43E-05,-9.228787453,0.00059411,-6.452266275,4.77E-12,0.00076432,7.64E-05,14,0.071428571,2.292256071,180,180,0.0084665,-2.072296087
0.0013623,-5.731454487,0.00063585,-6.393290649,0.011769,0.00039924,3.25E-06,20,0.05,2.602059991,100,100,0.010813,-1.966053797
5.64E-21,-40.49744179,1.58E-05,-9.602685826,0,0.00023497,0.0015758,16,0.0625,2.408239965,300,300,0.0096715,-2.014506164
7.01E-08,-14.30856396,7.11E-05,-8.296260799,6.91E-13,0.00028646,0.0011155,8,0.125,1.806179974,28,299,0.0028539,-2.544561249
0.0011037,-5.914297915,0.0003453,-6.923606843,0.0023506,0.00018494,6.40E-07,11,0.090909091,2.08278537,70,70,0.0018392,-2.735371042
0.00038163,-6.836714985,0.0093494,-4.058432518,7.51E-11,0.012028,0.0012023,4,0.25,1.204119983,180,180,0.010876,-1.963530801
0.0018657,-5.458316377,0.00087079,-6.120173134,0.016118,0.00054677,4.45E-06,20,0.05,2.602059991,100,100,0.014808,-1.829503594
2.85E-20,-39.09031028,7.98E-05,-8.195994217,0,0.0011882,0.0079686,9,0.111111111,1.908485019,300,300,0.015474,-1.810397407
2.39E-07,-13.2432042,0.00040192,-6.791720765,2.70E-13,0.0017106,0.0069345,7,0.142857143,1.69019608,42,300,0.01316,-1.880744111
0.017011,-3.538540311,0.0053218,-4.547882902,0.036229,0.0028504,9.86E-06,7,0.142857143,1.69019608,70,70,0.011479,-1.940095944
4.93E-06,-10.61430616,0.00012073,-7.836369599,9.69E-13,0.00015531,1.55E-05,17,0.058823529,2.460897843,180,180,0.0025368,-2.595713771
0.00011837,-7.853516705,5.52E-05,-8.516121845,0.0010226,3.47E-05,2.82E-07,9,0.111111111,1.908485019,100,100,0.00019026,-3.720652508
3.86E-22,-42.82682539,1.08E-06,-11.93315249,0,1.61E-05,0.00010797,7,0.142857143,1.69019608,300,300,0.00012684,-3.896743767
0.0016675,-5.555868315,0.0065556,-4.366775107,0,0.0042294,1.12E-06,5,0.2,1.397940009,326,116,0.0048199,-2.316961972
0.0095788,-4.037377789,0.0029967,-5.046713464,0.0204,0.001605,5.55E-06,10,0.1,2,70,70,0.013191,-1.87972228
0.00073187,-6.271132109,0.01793,-3.492839421,1.44E-10,0.023066,0.0023057,3,0.333333333,0.954242509,180,180,0.011733,-1.930590929
