Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
1.19E-06,0.0066863,0.014633,0.01028,1.19E-06,25,225,0.0094495,2,0
5.35E-06,0.0056781,0.010381,0.020198,5.35E-06,19,221,0.0090373,2,0
2.96E-05,3.38E-10,3.04E-37,1.15E-10,2.96E-05,43,10,0.0031393,7,0
0.053958,7.53E-06,1.38E-12,0.19533,0.053958,42,137,0.0033295,6,0
0.0016211,5.66E-09,1.73E-25,5.28E-07,0.0016211,7,21,0.0039637,6,0
0.3228,2.88E-07,1.46E-22,0.00087711,0.3228,37,67,0.012208,5,0
2.52E-06,0.00020223,7.05E-06,0.013254,2.52E-06,48,200,0.0030758,6,0
0.00015883,0.0016199,0.00022761,0.13872,0.00015883,26,199,0.010401,3,0
1.82E-14,0.0089994,0.21514,1.35E-07,1.82E-14,45,268,0.015221,10,0
0.0083105,1.06E-06,1.73E-11,0.01454,0.0083105,11,132,0.00053907,9,0
0.26517,0.00011191,4.63E-09,1.242,0.26517,19,143,0.0038369,1,0
1.14E-05,1.14E-10,3.70E-34,1.70E-10,1.14E-05,29,7,0.0003171,3,0
0.00089879,0.00018919,1.39E-05,0.08231,0.00089879,6,184,0.0052955,8,0
0.00050063,0.0001965,2.27E-06,0.12429,0.00050063,30,183,0.0074835,8,0
0.10905,2.30E-07,2.32E-18,0.0010607,0.10905,7,65,0.0064688,7,0
0.19307,7.60E-05,5.18E-09,0.77874,0.19307,14,142,0.015252,6,0
0.0057814,8.26E-09,8.31E-26,2.90E-06,0.0057814,26,42,0.0013952,4,0
0.057267,1.23E-07,8.20E-21,0.00011659,0.057267,3,42,0.0096081,4,0
0.40875,7.31E-07,2.04E-18,0.0041386,0.40875,16,70,0.015823,6,0
5.76E-22,0.00079035,0.022246,2.24E-13,5.76E-22,47,300,0.00022197,4,0
2.72E-17,0.00075427,0.020095,1.58E-10,2.72E-17,28,292,0.0006342,10,0
3.57E-08,0.043665,0.67523,0.00063138,3.57E-08,3,256,0.0094495,1,0
0.97496,1.06E-05,1.91E-14,0.32152,0.97496,36,114,0.014967,5,0
0.0050958,1.26E-08,2.40E-23,4.37E-06,0.0050958,5,32,0.0028539,5,0
2.00E-08,0.0034766,0.028603,0.00034925,2.00E-08,16,242,0.011225,9,0
0.0071848,1.65E-08,3.30E-24,4.25E-06,0.0071848,11,32,0.0045979,5,0
0.013332,1.00E-08,5.46E-29,3.19E-06,0.013332,48,52,0.0041223,10,0
0.00021297,0.00078442,0.00020329,0.076552,0.00021297,12,198,0.0061834,4,0
0.11742,3.38E-07,7.26E-17,0.0028848,0.11742,7,77,0.001744,3,0
1.57E-06,0.011255,0.039496,0.010846,1.57E-06,18,229,0.013064,2,0
0.025436,1.87E-05,1.86E-11,0.34221,0.025436,47,148,0.0061834,8,0
0.13441,0.00099878,2.55E-06,2.9542,0.13441,13,163,0.010591,1,0
0.0003268,0.00030309,3.60E-05,0.066813,0.0003268,12,191,0.0065322,8,0
0.007594,0.00013904,1.21E-06,0.24065,0.007594,9,169,0.010337,10,0
3.79E-05,0.0010888,0.0005024,0.037126,3.79E-05,18,206,0.0047882,3,0
0.11784,2.86E-06,2.17E-12,0.050033,0.11784,8,114,0.0035832,8,0
1.2579,9.94E-07,2.80E-22,0.004732,1.2579,44,74,0.00612,1,0
2.50E-17,0.026161,0.69884,5.50E-10,2.50E-17,34,296,0.0080226,4,0
8.33E-12,0.0040057,0.040041,8.44E-06,8.33E-12,45,250,0.0024734,2,0
0.038113,2.03E-05,2.29E-11,0.3797,0.038113,44,146,0.0062785,7,0
8.55E-06,0.0021122,0.0022701,0.019267,8.55E-06,19,215,0.0085616,4,0
5.38E-05,0.00073721,0.00011064,0.054948,5.38E-05,27,200,0.015221,10,0
9.30E-09,0.011224,0.054875,0.00082731,9.30E-09,36,238,0.015411,3,0
0.014094,1.72E-08,3.32E-30,1.16E-06,0.014094,45,40,0.015633,9,0
0.00052721,0.00070371,7.51E-05,0.14183,0.00052721,16,192,0.015062,8,0
9.28E-05,1.21E-09,1.89E-36,3.77E-10,9.28E-05,41,8,0.012367,7,0
0.017786,1.50E-08,5.61E-25,2.45E-05,0.017786,38,61,0.0016806,8,0
0.032907,8.60E-08,8.99E-23,2.43E-05,0.032907,5,30,0.013635,3,0
0.0003128,0.0003107,6.88E-05,0.052312,0.0003128,4,193,0.0035515,5,0
0.0002178,1.78E-09,7.00E-34,2.48E-09,0.0002178,35,11,0.010559,7,0
0.00284,0.00017288,9.28E-08,0.41596,0.00284,41,172,0.0033295,2,0
3.27E-09,0.0016486,0.019652,6.03E-05,3.27E-09,10,249,0.0036466,8,0
0.21561,2.03E-07,3.24E-23,0.00034902,0.21561,34,60,0.0053907,2,0
0.0036265,0.00026379,2.52E-06,0.29986,0.0036265,20,176,0.0094812,6,0
0.15637,5.04E-06,8.28E-12,0.084313,0.15637,7,117,0.0045028,7,0
0.079786,2.15E-07,2.80E-17,0.0017568,0.079786,8,76,0.0028539,7,0
5.68E-11,0.059683,1.1743,2.50E-05,5.68E-11,29,263,0.011257,1,0
0.035975,7.12E-06,9.22E-11,0.10071,0.035975,19,137,0.0027588,8,0
6.98E-05,0.00021074,1.20E-05,0.039679,6.98E-05,28,193,0.0048516,8,0
0.010442,0.00068155,4.32E-06,0.89359,0.010442,23,175,0.01335,3,0
0.00030857,0.0026787,0.00031323,0.26205,0.00030857,27,198,0.0060566,1,0
1.74E-06,0.00090254,0.00073078,0.0071171,1.74E-06,27,215,0.0048516,5,0
0.00011652,1.27E-09,7.64E-32,2.71E-09,0.00011652,22,4,0.0056761,5,0
1.30E-10,0.0090084,0.16423,1.52E-05,1.30E-10,19,261,0.0052638,3,0
8.93E-11,0.0039148,0.026192,4.06E-05,8.93E-11,44,244,0.010464,7,0
0.01196,1.28E-08,1.25E-22,0.00014318,0.01196,45,85,0.0003171,9,0
2.67E-06,0.00088173,0.00021789,0.015125,2.67E-06,38,209,0.0080543,6,0
0.00010265,0.004256,0.0055434,0.07177,0.00010265,4,212,0.004376,1,0
0.30815,7.21E-05,1.77E-09,0.91246,0.30815,16,138,0.012525,4,0
0.0021298,0.00083598,9.67E-06,0.52874,0.0021298,30,183,0.0079592,2,0
0.00077912,0.00018354,1.06E-05,0.083481,0.00077912,10,184,0.0066908,10,0
0.001206,0.00027543,1.79E-07,0.43003,0.001206,47,177,0.013223,6,0
1.33E-07,0.00057374,0.0011527,0.0010503,1.33E-07,25,224,0.0042174,10,0
9.99E-05,0.0012788,0.00020314,0.095609,9.99E-05,26,200,0.015696,6,0
0.47027,4.72E-07,1.70E-21,0.005843,0.47027,49,87,0.0075469,6,0
0.0019683,8.61E-09,1.54E-34,1.75E-08,0.0019683,46,21,0.014396,3,0
0.42832,2.79E-07,2.47E-24,0.00080018,0.42832,48,70,0.0053272,2,0
0.37483,9.24E-07,5.34E-17,0.0082028,0.37483,13,78,0.013889,8,0
0.015375,1.17E-08,8.09E-27,9.72E-06,0.015375,43,57,0.0018709,7,0
0.032875,2.99E-06,4.09E-11,0.041444,0.032875,7,128,0.0015855,8,0
0.57394,0.00014057,5.28E-09,1.6519,0.57394,13,138,0.0058029,1,0
1.19E-12,0.0038693,0.04541,2.67E-06,1.19E-12,48,253,0.0032661,3,0
0.17798,1.07E-07,1.91E-26,0.00012793,0.17798,50,63,0.0095764,5,0
6.87E-05,0.00020548,2.50E-05,0.029411,6.87E-05,20,195,0.0034881,7,0
2.20E-10,0.021152,0.25778,7.06E-05,2.20E-10,35,252,0.0058346,1,0
1.04E-19,0.0054616,0.16991,1.67E-11,1.04E-19,46,294,0.0031076,7,0
0.033848,4.49E-08,1.62E-25,1.50E-05,0.033848,29,43,0.0097349,5,0
0.0010222,4.53E-05,2.32E-07,0.070396,0.0010222,22,173,0.0032344,10,0
2.3312,3.23E-05,2.72E-13,0.89258,2.3312,31,115,0.015316,2,0
3.55E-07,2.37E-06,1.41E-06,0.00012596,3.55E-07,4,203,3.17E-05,9,0
3.0506,6.40E-05,9.44E-14,2.4394,3.0506,46,123,0.012525,1,0
1.62E-19,0.053364,1.6463,4.94E-11,1.62E-19,48,296,0.012399,3,0
1.23E-17,0.031943,0.77296,2.86E-10,1.23E-17,32,300,0.0089105,4,0
0.011162,0.00030228,2.32E-06,0.48602,0.011162,14,171,0.012969,6,0
0.17073,9.24E-06,1.97E-12,0.22772,0.17073,31,128,0.0038369,4,0
0.00020966,0.0005509,2.11E-06,0.24967,0.00020966,48,187,0.0079592,3,0
0.11417,2.38E-05,4.79E-12,0.60014,0.11417,45,140,0.013857,9,0
0.011759,3.20E-06,1.26E-10,0.037081,0.011759,14,139,0.00025368,2,0
0.46724,5.91E-06,4.00E-13,0.11584,0.46724,14,108,0.015252,10,0
0.012526,2.08E-08,3.00E-28,1.71E-06,0.012526,34,35,0.012589,6,0
