Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor4_Log,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Log
0.00054254,-6.531136474,0.00025322,-7.193003991,0.0046871,0.000159,-7.60E+00,1.29E-06,18,0.055555556,2.51054501,100,100,-2.457411073
0.00013109,-7.764860873,6.12E-05,-8.426497156,0.0011325,3.84E-05,-8.83E+00,3.13E-07,16,0.0625,2.408239965,100,100,-3.176584463
0.0023726,-5.249550948,0.0011074,-5.911390962,0.020497,0.00069531,-6.32E+00,5.66E-06,14,0.071428571,2.292256071,100,100,-2.034915946
0.165,-1.565032112,0.07701,-2.226905753,1.4254,0.048354,-2.63E+00,0.00039338,2,0.5,0.602059991,100,100,-1.882861334
0.0065638,-4.365689321,0.0030636,-5.027535878,0.056706,0.0019236,-5.43E+00,1.56E-05,11,0.090909091,2.08278537,100,100,-1.802443787
0.0030774,-5.023632101,0.0014364,-5.685449207,0.026587,0.00090189,-6.09E+00,7.34E-06,16,0.0625,2.408239965,100,100,-1.805957672
0.0022098,-5.311294062,0.0010314,-5.973145746,0.019091,0.0006476,-6.38E+00,5.27E-06,16,0.0625,2.408239965,100,100,-1.94981365
0.0013983,-5.708799285,0.00065263,-6.370665933,0.01208,0.00040978,-6.77E+00,3.33E-06,12,0.083333333,2.158362492,100,100,-2.398439735
0.0059827,-4.446205548,0.0027924,-5.108044741,0.051686,0.0017533,-5.51E+00,1.43E-05,11,0.090909091,2.08278537,100,100,-1.84269437
0.0013988,-5.708488753,0.00065289,-6.370319966,0.012085,0.00040994,-6.77E+00,3.34E-06,19,0.052631579,2.557507202,100,100,-1.999132278
0.0068804,-4.324772626,0.0032113,-4.986638241,0.059441,0.0020164,-5.39E+00,1.64E-05,6,0.166666667,1.556302501,100,100,-2.308476478
0.0049571,-4.60954464,0.0023137,-5.271385907,0.042826,0.0014528,-5.68E+00,1.18E-05,7,0.142857143,1.69019608,100,100,-2.316961972
0.0030611,-5.028244965,0.0014287,-5.690117911,0.026446,0.0008971,-6.09E+00,7.30E-06,15,0.066666667,2.352182518,100,100,-1.864326806
0.0063921,-4.388712879,0.0029834,-5.050577029,0.055223,0.0018733,-5.45E+00,1.52E-05,10,0.1,2,100,100,-1.896743767
0.0012859,-5.781585607,0.00060019,-6.44342249,0.011109,0.00037685,-6.85E+00,3.07E-06,16,0.0625,2.408239965,100,100,-2.184940527
0.0086893,-4.122030417,0.0040556,-4.783889771,0.075068,0.0025465,-5.19E+00,2.07E-05,4,0.25,1.204119983,100,100,-2.559279783
0.010986,-3.918320811,0.0051278,-4.580137844,0.094914,0.0032197,-4.98E+00,2.62E-05,4,0.25,1.204119983,100,100,-2.457411073
0.058417,-2.4669215,0.027265,-3.128788996,0.50467,0.01712,-3.53E+00,0.00013928,3,0.333333333,0.954242509,100,100,-1.981590793
0.00058053,-6.472350665,0.00027096,-7.134189633,0.0050153,0.00017013,-7.54E+00,1.38E-06,16,0.0625,2.408239965,100,100,-2.530325227
2.47E-05,-9.214606093,1.15E-05,-9.878604319,0.00021305,7.23E-06,-1.03E+01,5.88E-08,18,0.055555556,2.51054501,100,100,-3.799833754
0.33559,-0.948381978,0.15663,-1.610250104,2.8992,0.098348,-2.01E+00,0.0008001,1,1,0,100,100,-2.176584463
0.0011863,-5.851610939,0.00055371,-6.513435266,0.010249,0.00034767,-6.92E+00,2.83E-06,19,0.052631579,2.557507202,100,100,-2.070673052
0.05633,-2.498520498,0.026292,-3.160352753,0.48665,0.016508,-3.56E+00,0.0001343,2,0.5,0.602059991,100,100,-2.349585617
0.0037994,-4.840569963,0.0017733,-5.502435572,0.032824,0.0011135,-5.91E+00,9.06E-06,14,0.071428571,2.292256071,100,100,-1.830413727
0.00022372,-7.300590379,0.00010442,-7.962432622,0.0019328,6.56E-05,-8.37E+00,5.33E-07,20,0.05,2.602059991,100,100,-2.750630405
0.0024717,-5.214008485,0.0011536,-5.875889505,0.021353,0.00072436,-6.28E+00,5.89E-06,17,0.058823529,2.460897843,100,100,-1.848507572
0.00082861,-6.16329966,0.00038674,-6.825161814,0.0071585,0.00024283,-7.23E+00,1.98E-06,18,0.055555556,2.51054501,100,100,-2.273500998
0.06472,-2.377922983,0.030207,-3.039784809,0.55913,0.018967,-3.44E+00,0.0001543,2,0.5,0.602059991,100,100,-2.289290434
0.0024719,-5.213938205,0.0011538,-5.875738931,0.021356,0.00072444,-6.28E+00,5.89E-06,16,0.0625,2.408239965,100,100,-1.901114106
0.0004143,-6.765370133,0.00019337,-7.427221806,0.0035793,0.00012142,-7.83E+00,9.88E-07,18,0.055555556,2.51054501,100,100,-2.574530994
0.0019857,-5.404172728,0.00092681,-6.066018578,0.017155,0.00058194,-6.47E+00,4.73E-06,13,0.076923077,2.227886705,100,100,-2.176584463
0.0011288,-5.894765999,0.00052685,-6.556626031,0.0097519,0.00033081,-6.96E+00,2.69E-06,19,0.052631579,2.557507202,100,100,-2.092266263
0.00097387,-6.022998025,0.00045454,-6.684855785,0.0084134,0.0002854,-7.09E+00,2.32E-06,19,0.052631579,2.557507202,100,100,-2.156381077
0.0017043,-5.536907912,0.00079545,-6.198774228,0.014724,0.00049946,-6.60E+00,4.06E-06,19,0.052631579,2.557507202,100,100,-1.913355479
0.00061124,-6.427576466,0.00028529,-7.089426902,0.0052807,0.00017913,-7.49E+00,1.46E-06,20,0.05,2.602059991,100,100,-2.314115013
0.00078303,-6.212443197,0.00036547,-6.874296534,0.0067648,0.00022948,-7.28E+00,1.87E-06,20,0.05,2.602059991,100,100,-2.206551879
0.15261,-1.632834015,0.07123,-2.294674111,1.3184,0.044725,-2.70E+00,0.00036385,2,0.5,0.602059991,100,100,-1.916748283
0.0022671,-5.289058646,0.0010581,-5.950946571,0.019586,0.0006644,-6.36E+00,5.41E-06,17,0.058823529,2.460897843,100,100,-1.886023242
0.00035556,-6.898174205,0.00016595,-7.560045487,0.0030718,0.0001042,-7.96E+00,8.48E-07,20,0.05,2.602059991,100,100,-2.549412212
0.0010014,-5.998784826,0.00046741,-6.660604001,0.0086516,0.00029348,-7.06E+00,2.39E-06,15,0.066666667,2.352182518,100,100,-2.349585617
0.0020628,-5.371085755,0.0009628,-6.032927837,0.017821,0.00060454,-6.44E+00,4.92E-06,19,0.052631579,2.557507202,100,100,-1.830413727
0.00014915,-7.652753485,6.96E-05,-8.314781521,0.0012885,4.37E-05,-8.72E+00,3.56E-07,15,0.066666667,2.352182518,100,100,-3.176584463
0.00094259,-6.051354344,0.00043994,-6.713213099,0.0081432,0.00027624,-7.12E+00,2.25E-06,16,0.0625,2.408239965,100,100,-2.319827718
0.00057104,-6.486666939,0.00026653,-7.148507801,0.0049333,0.00016735,-7.55E+00,1.36E-06,19,0.052631579,2.557507202,100,100,-2.388212986
0.00092386,-6.068787672,0.0004312,-6.730642496,0.0079814,0.00027075,-7.13E+00,2.20E-06,16,0.0625,2.408239965,100,100,-2.328549446
0.00093218,-6.061000438,0.00043509,-6.722841797,0.0080533,0.00027319,-7.13E+00,2.22E-06,12,0.083333333,2.158362492,100,100,-2.574530994
0.00033559,-6.948381978,0.00015663,-7.610250104,0.0028992,9.83E-05,-8.01E+00,8.00E-07,10,0.1,2,100,100,-3.176584463
0.0023526,-5.256903815,0.0010981,-5.918716217,0.020325,0.00068947,-6.32E+00,5.61E-06,12,0.083333333,2.158362492,100,100,-2.172469189
0.0040684,-4.781152709,0.0018989,-5.442995811,0.035148,0.0011923,-5.85E+00,9.70E-06,14,0.071428571,2.292256071,100,100,-1.800711172
0.0031179,-5.012275636,0.0014553,-5.674094941,0.026936,0.00091375,-6.08E+00,7.43E-06,15,0.066666667,2.352182518,100,100,-1.856329567
4.79E-05,-8.639328973,2.24E-05,-9.299503963,0.00041417,1.41E-05,-9.70E+00,1.14E-07,10,0.1,2,100,100,-4.021819483
0.063388,-2.395985901,0.029586,-3.057827494,0.54763,0.018577,-3.46E+00,0.00015113,3,0.333333333,0.954242509,100,100,-1.946153573
