Receptor_measurement1,,Receptor_measurement2,,Receptor_measurement4,,Receptor_measurement5,,wind speed log,Wind_speed,,Source_Location_X,,Source_Location_Y,
0.0001531,-3.815024809,0.00066068,-3.18000884,0.00078314,-3.11E+00,0.00016276,-3.79E+00,1.18E+00,15,1.740362689,55,2.257678575,181,-1.924781621
0.0095231,-2.021221655,0.0029793,-2.525885763,0.0015957,-2.80E+00,5.52E-06,-5.26E+00,9.54E-01,9,1.84509804,70,1.84509804,70,-1.973752819
2.43E-05,-4.614393726,0.00059411,-3.226133138,0.00076432,-3.12E+00,7.64E-05,-4.12E+00,1.15E+00,14,2.255272505,180,2.255272505,180,-2.072296087
0.0013623,-2.865727243,0.00063585,-3.196645324,0.00039924,-3.40E+00,3.25E-06,-5.49E+00,1.30E+00,20,2,100,2,100,-1.966053797
5.64E-21,-20.2487209,1.58E-05,-4.801342913,0.00023497,-3.63E+00,0.0015758,-2.80E+00,1.20E+00,16,2.477121255,300,2.477121255,300,-2.014506164
7.01E-08,-7.154281982,7.11E-05,-4.148130399,0.00028646,-3.54E+00,0.0011155,-2.95E+00,9.03E-01,8,1.447158031,28,2.475671188,299,-2.544561249
0.0011037,-2.957148957,0.0003453,-3.461803422,0.00018494,-3.73E+00,6.40E-07,-6.19E+00,1.04E+00,11,1.84509804,70,1.84509804,70,-2.735371042
0.00038163,-3.418357493,0.0093494,-2.029216259,0.012028,-1.92E+00,0.0012023,-2.92E+00,6.02E-01,4,2.255272505,180,2.255272505,180,-1.963530801
0.0018657,-2.729158188,0.00087079,-3.060086567,0.00054677,-3.26E+00,4.45E-06,-5.35E+00,1.30E+00,20,2,100,2,100,-1.829503594
2.85E-20,-19.54515514,7.98E-05,-4.097997109,0.0011882,-2.93E+00,0.0079686,-2.10E+00,9.54E-01,9,2.477121255,300,2.477121255,300,-1.810397407
2.39E-07,-6.621602099,0.00040192,-3.395860382,0.0017106,-2.77E+00,0.0069345,-2.16E+00,8.45E-01,7,1.62324929,42,2.477121255,300,-1.880744111
0.017011,-1.769270155,0.0053218,-2.273941451,0.0028504,-2.55E+00,9.86E-06,-5.01E+00,8.45E-01,7,1.84509804,70,1.84509804,70,-1.940095944
4.93E-06,-5.307153081,0.00012073,-3.918184799,0.00015531,-3.81E+00,1.55E-05,-4.81E+00,1.23E+00,17,2.255272505,180,2.255272505,180,-2.595713771
0.00011837,-3.926758352,5.52E-05,-4.258060922,3.47E-05,-4.46E+00,2.82E-07,-6.55E+00,9.54E-01,9,2,100,2,100,-3.720652508
3.86E-22,-21.4134127,1.08E-06,-5.966576245,1.61E-05,-4.79E+00,0.00010797,-3.97E+00,8.45E-01,7,2.477121255,300,2.477121255,300,-3.896743767
0.0016675,-2.777934157,0.0065556,-2.183387553,0.0042294,-2.37E+00,1.12E-06,-5.95E+00,6.99E-01,5,2.5132176,326,2.064457989,116,-2.316961972
0.0095788,-2.018688894,0.0029967,-2.523356732,0.001605,-2.79E+00,5.55E-06,-5.26E+00,1.00E+00,10,1.84509804,70,1.84509804,70,-1.87972228
0.00073187,-3.135566055,0.01793,-1.74641971,0.023066,-1.64E+00,0.0023057,-2.64E+00,4.77E-01,3,2.255272505,180,2.255272505,180,-1.930590929
0.0018679,-2.728646378,0.00087183,-3.059568191,0.00054742,-3.26E+00,4.45E-06,-5.35E+00,1.18E+00,15,2,100,2,100,-2.078849572
7.80E-21,-20.1079054,2.18E-05,-4.661543506,0.0003252,-3.49E+00,0.0021809,-2.66E+00,1.18E+00,15,2.477121255,300,2.477121255,300,-1.929444984
0.00073706,-3.132497157,0.0018033,-2.743932017,0.0015409,-2.81E+00,2.84E-05,-4.55E+00,7.78E-01,6,2.257678575,181,2.149219113,141,-2.521087361
0.002625,-2.580870692,0.00082121,-3.085545771,0.00043984,-3.36E+00,1.52E-06,-5.82E+00,1.30E+00,20,1.84509804,70,1.84509804,70,-1.839831707
9.26E-06,-5.033389013,0.00022696,-3.644050677,0.00029199,-3.53E+00,2.92E-05,-4.53E+00,1.15E+00,14,2.255272505,180,2.255272505,180,-2.490206272
0.14742,-0.831443593,0.068806,-1.162373689,0.043203,-1.36E+00,0.00035147,-3.45E+00,3.01E-01,2,2,100,2,100,-1.931777021
1.57E-19,-18.80410035,0.00044036,-3.356192137,0.0065577,-2.18E+00,0.043978,-1.36E+00,3.01E-01,2,2.477121255,300,2.477121255,300,-2.374955206
